Bevoelkerung nach Geburtslaendern, Staatsangehoerigkeit und Migrationshintergrund, 2012-2022 | population by place of birth, citizenship and migrational background by LAU2, 2012-2022;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;POP_TOTAL;BORN_AUT;BORN_FOR;NATIONALITY_AUT;NATIONALITY_FOR;MIG_BACKGROUND;YEAR
AT1;AT12;AT127;30704;Bruck an der Leitha;7648;6607;1041;6919;729;1145;2012
AT1;AT12;AT127;30706;Enzersdorf an der Fischa;2968;2636;332;2805;163;347;2012
AT1;AT12;AT127;30708;Göttlesbrunn-Arbesthal;1384;1294;90;1322;62;98;2012
AT1;AT12;AT127;30709;Götzendorf an der Leitha;2049;1752;297;1800;249;361;2012
AT1;AT12;AT127;30710;Hainburg a. d. Donau;5919;4348;1571;4572;1347;1782;2012
AT1;AT12;AT127;30711;Haslau-Maria Ellend;1854;1616;238;1734;120;252;2012
AT1;AT12;AT127;30712;Höflein;1210;1139;71;1153;57;78;2012
AT1;AT12;AT127;30713;Hof am Leithaberge;1476;1360;116;1385;91;131;2012
AT1;AT12;AT127;30715;Hundsheim;602;538;64;554;48;70;2012
AT1;AT12;AT127;30716;Mannersdorf am Leithagebirge;3827;3303;524;3387;440;607;2012
AT1;AT12;AT127;30718;Petronell-Carnuntum;1205;1069;136;1103;102;154;2012
AT1;AT12;AT127;30719;Prellenkirchen;1449;1300;149;1334;115;162;2012
AT1;AT12;AT127;30721;Rohrau;1548;1347;201;1416;132;216;2012
AT1;AT12;AT127;30722;Scharndorf;1133;1019;114;1058;75;122;2012
AT1;AT12;AT127;30724;Sommerein;1933;1806;127;1855;78;135;2012
AT1;AT12;AT127;30726;Trautmannsdorf an der Leitha;2784;2569;215;2651;133;241;2012
AT1;AT12;AT127;30728;Wolfsthal;870;651;219;675;195;234;2012
AT1;AT12;AT126;30801;Aderklaa;190;165;25;166;24;26;2012
AT1;AT12;AT126;30802;Andlersdorf;129;125;4;127;2;4;2012
AT1;AT12;AT126;30803;Angern an der March;3269;2876;393;2999;270;447;2012
AT1;AT12;AT126;30804;Auersthal;1856;1689;167;1715;141;201;2012
AT1;AT12;AT126;30805;Bad Pirawarth;1687;1548;139;1600;87;148;2012
AT1;AT12;AT126;30808;Deutsch-Wagram;7907;6674;1233;7230;677;1338;2012
AT1;AT12;AT125;30810;Drösing;1129;1024;105;1072;57;109;2012
AT1;AT12;AT125;30811;Dürnkrut;2270;2111;159;2163;107;184;2012
AT1;AT12;AT126;30812;Ebenthal;840;762;78;782;58;87;2012
AT1;AT12;AT126;30813;Eckartsau;1165;1049;116;1059;106;136;2012
AT1;AT12;AT126;30814;Engelhartstetten;1890;1703;187;1771;119;213;2012
AT1;AT12;AT126;30817;Gänserndorf;10416;8841;1575;9325;1091;1848;2012
AT1;AT12;AT126;30819;Glinzendorf;259;221;38;229;30;43;2012
AT1;AT12;AT126;30821;Groß-Enzersdorf;9644;8469;1175;8912;732;1298;2012
AT1;AT12;AT126;30822;Großhofen;90;72;18;66;24;25;2012
AT1;AT12;AT126;30824;Groß-Schweinbarth;1298;1183;115;1192;106;148;2012
AT1;AT12;AT126;30825;Haringsee;1181;1042;139;1111;70;151;2012
AT1;AT12;AT125;30826;Hauskirchen;1230;1145;85;1181;49;96;2012
AT1;AT12;AT125;30827;Hohenau an der March;2666;2396;270;2484;182;299;2012
AT1;AT12;AT126;30828;Hohenruppersdorf;884;846;38;852;32;43;2012
AT1;AT12;AT125;30829;Jedenspeigen;1059;994;65;1023;36;68;2012
AT1;AT12;AT126;30830;Lassee;2560;2264;296;2344;216;336;2012
AT1;AT12;AT126;30831;Leopoldsdorf im Marchfeld;2509;2125;384;2267;242;421;2012
AT1;AT12;AT126;30834;Mannsdorf an der Donau;400;333;67;344;56;73;2012
AT1;AT12;AT126;30835;Marchegg;2925;2486;439;2607;318;500;2012
AT1;AT12;AT126;30836;Markgrafneusiedl;838;738;100;773;65;112;2012
AT1;AT12;AT126;30838;Matzen-Raggendorf;2687;2368;319;2431;256;372;2012
AT1;AT12;AT125;30841;Neusiedl an der Zaya;1222;1127;95;1168;54;101;2012
AT1;AT12;AT126;30842;Obersiebenbrunn;1693;1481;212;1567;126;229;2012
AT1;AT12;AT126;30844;Orth an der Donau;2051;1807;244;1876;175;283;2012
AT1;AT12;AT125;30845;Palterndorf-Dobermannsdorf;1250;1158;92;1195;55;96;2012
AT1;AT12;AT126;30846;Parbasdorf;160;141;19;141;19;21;2012
AT1;AT12;AT126;30848;Prottes;1381;1205;176;1258;123;198;2012
AT1;AT12;AT126;30849;Raasdorf;661;486;175;515;146;193;2012
AT1;AT12;AT125;30850;Ringelsdorf-Niederabsdorf;1316;1238;78;1276;40;85;2012
AT1;AT12;AT126;30852;Schönkirchen-Reyersdorf;1970;1770;200;1846;124;227;2012
AT1;AT12;AT126;30854;Spannberg;899;866;33;868;31;40;2012
AT1;AT12;AT126;30856;Strasshof an der Nordbahn;8589;7231;1358;7842;747;1492;2012
AT1;AT12;AT125;30857;Sulz im Weinviertel;1181;1115;66;1135;46;72;2012
AT1;AT12;AT126;30858;Untersiebenbrunn;1414;1246;168;1314;100;185;2012
AT1;AT12;AT126;30859;Velm-Götzendorf;775;722;53;738;37;59;2012
AT1;AT12;AT126;30860;Weikendorf;1917;1698;219;1778;139;254;2012
AT1;AT12;AT125;30863;Zistersdorf;5428;5048;380;5193;235;425;2012
AT1;AT12;AT126;30865;Weiden an der March;993;851;142;877;116;163;2012
AT1;AT12;AT124;30902;Amaliendorf-Aalfang;1127;1064;63;1087;40;68;2012
AT1;AT12;AT124;30903;Brand-Nagelberg;1658;1567;91;1612;46;95;2012
AT1;AT12;AT124;30904;Eggern;726;713;13;719;7;14;2012
AT1;AT12;AT124;30906;Eisgarn;666;656;10;658;8;12;2012
AT1;AT12;AT124;30908;Gmünd;5371;4837;534;5035;336;600;2012
AT1;AT12;AT124;30909;Großdietmanns;2245;2136;109;2203;42;113;2012
AT1;AT12;AT124;30910;Bad Großpertholz;1351;1312;39;1334;17;39;2012
AT1;AT12;AT124;30912;Großschönau;1241;1222;19;1227;14;23;2012
AT1;AT12;AT124;30913;Moorbad Harbach;673;657;16;663;10;18;2012
AT1;AT12;AT124;30915;Haugschlag;498;458;40;474;24;44;2012
AT1;AT12;AT124;30916;Heidenreichstein;4064;3881;183;3976;88;195;2012
AT1;AT12;AT124;30917;Hirschbach;572;558;14;565;7;16;2012
AT1;AT12;AT124;30920;Hoheneich;1472;1386;86;1399;73;98;2012
AT1;AT12;AT124;30921;Kirchberg am Walde;1362;1327;35;1343;19;39;2012
AT1;AT12;AT124;30925;Litschau;2265;2179;86;2223;42;92;2012
AT1;AT12;AT124;30929;Reingers;689;662;27;676;13;27;2012
AT1;AT12;AT124;30932;St. Martin;1151;1131;20;1142;9;20;2012
AT1;AT12;AT124;30935;Schrems;5628;5269;359;5368;260;416;2012
AT1;AT12;AT124;30939;Unserfrau-Altweitra;1002;985;17;993;9;18;2012
AT1;AT12;AT124;30940;Waldenstein;1193;1172;21;1177;16;23;2012
AT1;AT12;AT124;30942;Weitra;2745;2648;97;2702;43;101;2012
AT1;AT12;AT125;31001;Alberndorf im Pulkautal;732;701;31;711;21;32;2012
AT1;AT12;AT125;31008;Göllersdorf;2980;2748;232;2807;173;251;2012
AT1;AT12;AT125;31009;Grabern;1421;1348;73;1361;60;82;2012
AT1;AT12;AT125;31014;Guntersdorf;1150;1092;58;1103;47;68;2012
AT1;AT12;AT125;31015;Hadres;1691;1603;88;1637;54;90;2012
AT1;AT12;AT125;31016;Hardegg;1375;1316;59;1334;41;62;2012
AT1;AT12;AT125;31018;Haugsdorf;1613;1515;98;1557;56;100;2012
AT1;AT12;AT125;31019;Heldenberg;1210;1149;61;1171;39;65;2012
AT1;AT12;AT125;31021;Hohenwarth-Mühlbach a. M.;1268;1183;85;1209;59;96;2012
AT1;AT12;AT125;31022;Hollabrunn;11521;10355;1166;10645;876;1292;2012
AT1;AT12;AT125;31025;Mailberg;571;548;23;558;13;23;2012
AT1;AT12;AT125;31026;Maissau;1866;1790;76;1818;48;86;2012
AT1;AT12;AT125;31028;Nappersdorf-Kammersdorf;1249;1186;63;1209;40;68;2012
AT1;AT12;AT125;31033;Pernersdorf;1009;964;45;987;22;45;2012
AT1;AT12;AT125;31035;Pulkau;1576;1496;80;1529;47;82;2012
AT1;AT12;AT125;31036;Ravelsbach;1665;1561;104;1592;73;114;2012
AT1;AT12;AT125;31037;Retz;4171;3928;243;4031;140;263;2012
AT1;AT12;AT125;31038;Retzbach;1051;981;70;1014;37;80;2012
AT1;AT12;AT125;31041;Schrattenthal;852;816;36;834;18;39;2012
AT1;AT12;AT125;31042;Seefeld-Kadolz;936;858;78;896;40;80;2012
AT1;AT12;AT125;31043;Sitzendorf an der Schmida;2154;2075;79;2095;59;87;2012
AT1;AT12;AT125;31051;Wullersdorf;2369;2248;121;2304;65;124;2012
AT1;AT12;AT125;31052;Zellerndorf;2549;2447;102;2478;71;106;2012
AT1;AT12;AT125;31053;Ziersdorf;3305;3145;160;3187;118;182;2012
AT1;AT12;AT124;31101;Altenburg;816;783;33;792;24;34;2012
AT1;AT12;AT124;31102;Brunn an der Wild;848;824;24;833;15;27;2012
AT1;AT12;AT124;31103;Burgschleinitz-Kühnring;1389;1333;56;1360;29;61;2012
AT1;AT12;AT124;31104;Drosendorf-Zissersdorf;1218;1143;75;1185;33;79;2012
AT1;AT12;AT124;31105;Eggenburg;3483;3242;241;3312;171;262;2012
AT1;AT12;AT124;31106;Gars am Kamp;3475;3294;181;3349;126;197;2012
